CTRL_A	itraconazole_A	methotrexate_A	tamoxifen_A	beauvericin_A	benomyl_A	bisantrene_A	camptothecin_A	cisplatin_A	colchicine_A	cycloheximide_A	fluconazole_A	imatinib_A	ketoconazole_A	miconazole_A	mitoxantrone_A	valinomycin_A
TWAS21010706	0.49689	0.52315	0.52721	0.44534	0.52363	0.527	0.73277	0.51947	0.43198	0.42672	0.55959	0.49041	0.51011	0.52877	0.57708	0.62664	0.45068
TWAS21010707	1.12402	0.62207	1.084965	0.50093	1.16761	1.34693	1.22667	1.20342	1.066133	1.14621	0.9969946	0.74414	1.16923	0.70507	0.60389	1.155	1.16005
TWAS21010708	1.12457	0.89825	1.13905	1.33632	1.16556	0.979229	0.80004	1.065916	1.1576	1.11584	1.21754	0.939015	1.11165	0.979769	1.30265	1.16723	1.11797
TWAS21010711	0.62054	0.62479	0.49147	0.60179	0.50134	0.23557	0.70094	0.79368	0.44239	0.437	0.77643	0.93496	0.65648	1.00090369	0.55451	0.35699	0.47868
TWAS21010712	1.077399	0.89377	1.085303	1.48422	1.090414	1.0026616	1.32036	1.26354	1.13043	0.999186	1.20896	0.912196	1.028753	1.010039	1.25357	1.1301	1.035814
TWAS21010714	0.940759	0.48613	0.920503	0.51242	0.56535	1.012212	1.087234	1.068005	0.8391	0.968751	0.7901	0.55654	1.016555	0.22317	0.7328	0.934997	0.9976012
TWAS21010715	1.11222	0.89403	1.10662	1.3633	1.12987	0.917275	0.76196	1.12759	1.10804	1.10585	1.22229	0.973959	1.10838	1.0045311	1.31252	1.067494	1.11373
TWAS21010716	0.924497	0.68962	0.84109	1.15169	0.46037	0.55776	1.053664	1.060039	0.955895	0.89028	1.058992	0.79069	0.51229	0.81248	1.1183	0.86559	0.86465
TWAS21010717	1.0503	0.88213	1.042007	1.31702	1.098703	0.76693	0.75976	1.084781	1.16027	1.088659	1.11153	0.951446	1.046341	0.953759	1.21583	0.905338	1.06601
TWAS21010718	0.49412	0.56417	0.40679	0.56483	0.41496	0.5719	0.64276	0.56119	0.50521	0.49905	0.60163	0.53405	0.51936	0.46122	0.55128	0.56511	0.47589
TWAS21010719	1.10338	0.906114	1.095002	1.43398	1.1452	1.084148	1.16278	1.23792	1.17378	1.096675	1.19029	0.919944	1.10396	0.982208	1.29063	1.14349	1.10322
TWAS21010721	1.097899	0.55439	1.11137	0.60659	1.15583	1.056127	0.6128	0.71143	1.018686	1.10738	1.00081985	0.57846	1.12695	0.60037	0.83183	1.0089066	1.15506
TWAS21010722	1.094981	0.89807	1.092238	1.32725	1.14083	0.8624	0.76422	1.096267	1.13849	1.085361	1.18402	0.921585	1.060907	0.9960562	1.31525	1.054066	1.095507
TWAS21010723	0.57316	0.48595	0.40249	0.59196	0.47163	0.56232	0.68825	0.5233	0.56333	0.49378	0.56012	0.54271	0.43141	0.52421	0.59153	0.52377	0.43418
TWAS21010724	1.091262	0.905331	1.075158	1.3237	1.10633	0.8665	0.79317	1.072589	1.14297	1.084976	1.19995	1.033742	1.074879	0.9970792	1.30248	1.0036007	1.097898
TWAS21010801	0.50034	0.54375	0.49961	0.45912	0.56867	0.5433	0.918914	0.69742	0.52376	0.38297	0.5602	0.39739	0.55461	0.4193	0.42305	0.48793	0.4195
TWAS21010802	0.52357	0.58052	0.53175	0.63987	0.52712	0.51916	0.58534	0.70959	0.79369	0.47281	0.64841	0.53593	0.63872	0.62318	0.9980906	0.65969	0.50585
TWAS21010803	1.10366	0.64278	1.11495	0.49207	1.10575	1.27772	1.16865	1.16642	1.025817	1.041794	1.019289	0.76516	1.086644	0.74141	0.88766	1.15009	1.075955
TWAS21010806	1.1155	0.84377	1.084521	1.37383	1.14553	1.2937	1.17376	1.2155	1.16427	1.12811	1.14674	0.94731	1.153	0.908438	1.14341	1.15576	1.13097
TWAS21010807	1.12453	0.63009	1.11123	0.59207	1.18218	1.36768	1.206	1.19674	1.063093	1.12855	1.032303	0.75149	1.1642	0.7219	0.966186	1.18735	1.15434
TWAS21010813	1.12332	0.63538	1.1618	0.55325	1.15866	1.31505	1.26539	1.184	1.063315	1.021488	1.054466	0.72647	1.10112	0.73708	0.91901	1.15189	1.085264
TWAS21010815	1.13252	0.62028	1.15803	0.55838	1.18314	1.38586	1.32056	1.20031	1.064256	1.13896	1.047487	0.69422	1.16897	0.71179	1.066213	1.19228	1.16462
TWAS21010816	1.13129	0.917266	1.14675	1.48431	1.19481	1.16661	1.3678	1.27877	1.19146	1.12109	1.19126	0.92901	1.11309	0.987502	1.31176	1.18985	1.090134
TWAS21010817	1.13246	0.88745	1.15419	1.49539	1.17984	1.12673	1.24938	1.25276	1.11947	1.11869	1.18421	0.914978	1.14525	0.979644	1.2852	1.19608	1.10257
TWAS21010818	0.51231	0.72617	0.4976	0.48283	0.24695	0.4974	0.59801	0.22688	0.46834	0.46264	0.59387	0.48005	0.55466	0.54398	0.55422	0.51313	0.4068
