CTRL_alpha	itraconazole_alpha	methotrexate_alpha	tamoxifen_alpha	beauvericin_alpha	benomyl_alpha	bisantrene_alpha	camptothecin_alpha	cisplatin_alpha	colchicine_alpha	cycloheximide_alpha	fluconazole_alpha	imatinib_alpha	ketoconazole_alpha	miconazole_alpha	mitoxantrone_alpha	valinomycin_alpha
TWAS21161308	1.029202	0.89492	1.040656	0.61309	1.14108	0.937737	0.61017	0.62854	0.915315	1.089082	0.946181	0.70217	1.043864	0.60926	0.56239	0.9968146	1.078345
TWAS21161309	1.063893	0.9944515	1.056623	1.32672	1.17875	1.049199	1.040784	1.18777	1.09626	1.076473	1.14443	0.88322	1.060771	1.060308	1.33387	1.070079	1.0699
TWAS21161311	1.041889	0.954393	1.12559	0.60249	1.11045	1.18835	1.07682	1.046195	0.9949461	1.06986	0.947098	0.67843	1.015494	0.61311	0.51715	1.091133	1.093171
TWAS21161312	1.046172	0.970962	1.029649	1.1976	1.12163	0.8751	0.68418	0.9969881	1.018096	1.065603	1.12603	0.85851	1.026337	1.029338	1.31718	1.039548	1.059636
TWAS21161313	1.049838	0.996137	1.062576	1.20305	1.1401	0.948161	0.69857	0.976469	1.085982	1.065698	1.11919	0.86416	1.033701	1.025738	1.31626	1.062446	1.055669
TWAS21161314	1.060121	0.86783	1.074728	0.59035	1.17704	1.21001	1.040336	1.087638	0.993794	1.080877	0.998428	0.7192	1.080538	0.68361	0.60084	1.071925	1.09737
TWAS21161318	1.044922	0.9941852	1.030506	1.19495	1.11169	0.88175	0.67593	0.9927107	1.030254	1.066565	1.12465	0.954728	1.027749	1.023475	1.3191	1.049256	1.061846
TWAS21161322	0.99378	0.83838	1.0020768	0.60513	0.60366	1.22276	1.26129	1.046196	0.984313	1.065515	0.87322	0.59226	1.057493	0.5566	0.47281	1.029625	1.021006
TWAS21161324	1.056602	0.87429	1.13075	1.31779	1.080241	1.15767	1.0021433	1.11973	0.976869	1.064573	1.067011	0.79463	1.02546	0.85376	1.15452	1.089365	1.068829
TWAS21161401	1.040563	0.9967937	1.032657	1.3464	1.14778	0.998491	1.14166	1.16308	1.083047	1.073601	1.12002	0.87228	1.030077	1.049996	1.32784	1.052242	1.040048
TWAS21161404	1.059522	0.9986289	1.054367	1.34972	1.15749	1.059657	1.037992	1.1723	1.049093	1.056691	1.12603	0.8627	1.049873	1.039185	1.32175	1.073197	1.073592
TWAS21161405	0.89114	0.50397	0.918962	0.59473	0.60333	0.80125	0.57954	0.58061	0.79743	0.965481	0.84006	0.55971	0.973714	0.53882	0.44746	0.78617	0.907373
TWAS21161408	0.89776	0.68608	0.86816	0.63551	0.55847	1.073865	1.010497	0.978542	0.87426	0.9913294	0.84152	0.59737	0.99904819	0.5608	0.48403	0.971254	0.962581
TWAS21161418	1.046086	0.89063	1.040228	0.58591	1.14515	1.1586	1.059815	1.09171	0.980543	1.093811	0.951942	0.71181	1.050563	0.69544	0.56255	1.073814	1.082936
TWAS21161419	1.071745	0.8006	1.12199	0.65344	1.21407	1.27083	1.16959	1.083688	1.056319	1.12423	1.034862	0.75879	1.086536	0.75195	0.6482	1.052243	1.081632
